terror	18:24:34.113255-0700	backboardd	range-in for pathIndex with existing contact -- using existing: pathIndex: 3; touchIdentifier: 29190; touching; locked; destinations: (
    (touchStream|filterDetachedTouches); contextID: 0x887BD78C; clientPort: 0x3807,
    (hitTest); contextID: 0xAF52BB83; clientPort: 0x69F03; inheritedSceneHostSettings: <identifier: sceneID:com.valuenex.VNXNavigationApp-A172877C-F791-4CF7-85C2-7282872A69E9; touchBehavior: foreground>
)
default	18:24:34.123671-0700	VNXNavigationApp	Evaluating dispatch of UIEvent: 0x106146140; type: 0; subtype: 0; backing type: 11; shouldSend: 1; ignoreInteractionEvents: 0, systemGestureStateChange: 0
default	18:24:34.123742-0700	VNXNavigationApp	Sending UIEvent type: 0; subtype: 0; to windows: 1
default	18:24:34.123835-0700	VNXNavigationApp	Sending UIEvent type: 0; subtype: 0; to window: <UIWindow: 0x105717540>; contextId: 0xAF52BB83
default	18:24:34.127415-0700	VNXNavigationApp	Evaluating dispatch of UIEvent: 0x106146140; type: 0; subtype: 0; backing type: 11; shouldSend: 0; ignoreInteractionEvents: 0, systemGestureStateChange: 0
default	18:24:34.127521-0700	VNXNavigationApp	Evaluating dispatch of UIEvent: 0x106146140; type: 0; subtype: 0; backing type: 11; shouldSend: 0; ignoreInteractionEvents: 0, systemGestureStateChange: 0
default	18:24:34.189656-0700	VNXNavigationApp	Evaluating dispatch of UIEvent: 0x106146140; type: 0; subtype: 0; backing type: 11; shouldSend: 1; ignoreInteractionEvents: 0, systemGestureStateChange: 0
default	18:24:34.189723-0700	VNXNavigationApp	Sending UIEvent type: 0; subtype: 0; to windows: 1
default	18:24:34.189793-0700	VNXNavigationApp	Sending UIEvent type: 0; subtype: 0; to window: <UIWindow: 0x105717540>; contextId: 0xAF52BB83
default	18:24:34.196285-0700	VNXNavigationApp	Note: no default visual style class registered as fallback for stylable class UIActivityIndicatorView
default	18:24:34.196320-0700	VNXNavigationApp	Note: no default visual style class registered as fallback for stylable class UIActivityIndicatorView
default	18:24:34.207436-0700	VNXNavigationApp	Evaluating dispatch of UIEvent: 0x106146140; type: 0; subtype: 0; backing type: 11; shouldSend: 0; ignoreInteractionEvents: 0, systemGestureStateChange: 1
default	18:24:34.223006-0700	runningboardd	Acquiring assertion targeting [app<com.valuenex.VNXNavigationApp(4EC59482-322D-4C3C-8318-B8270CD89644)>:12669] from originator [app<com.valuenex.VNXNavigationApp(4EC59482-322D-4C3C-8318-B8270CD89644)>:12669] with description <RBSAssertionDescriptor| "Shared Background Assertion 1 for com.valuenex.VNXNavigationApp" ID:35-12669-192962 target:12669 attributes:[
	<RBSLegacyAttribute| requestedReason:FinishTask reason:FinishTask flags:( PreventTaskSuspend )>,
	<RBSAcquisitionCompletionAttribute| policy:AfterValidation>
	]>
default	18:24:34.223048-0700	runningboardd	Assertion 35-12669-192962 (target:[app<com.valuenex.VNXNavigationApp(4EC59482-322D-4C3C-8318-B8270CD89644)>:12669]) will be created as inactive as start-time-defining assertions exist
default	18:24:34.224025-0700	VNXNavigationApp	Will add backgroundTask with taskName: <private>, expirationHandler: <__NSMallocBlock__: 0x1126b5380>
default	18:24:34.224049-0700	VNXNavigationApp	Creating new assertion because there is no existing background assertion.
default	18:24:34.224080-0700	VNXNavigationApp	Creating new background assertion
default	18:24:34.224111-0700	VNXNavigationApp	Created new background assertion <BKSProcessAssertion: 0x112695220>
default	18:24:34.224181-0700	VNXNavigationApp	Incrementing reference count for background assertion <private>
default	18:24:34.224307-0700	VNXNavigationApp	Created background task <private>.
default	18:24:34.224371-0700	VNXNavigationApp	Task <B6A58D3B-3BF9-435C-BDAE-1830A37FB4D7>.<1> resuming, timeouts(60.0, 604800.0) qos(0x19) voucher(<private>) activity(00000000-0000-0000-0000-000000000000)
default	18:24:34.226073-0700	VNXNavigationApp	-[SOConfigurationClient init]  on <private>
default	18:24:34.226269-0700	VNXNavigationApp	[0x11241f700] activating connection: mach=true listener=false peer=false name=com.apple.AppSSO.service-xpc
default	18:24:34.226533-0700	VNXNavigationApp	<SOServiceConnection: 0x112595b80>: new XPC connection
default	18:24:34.229644-0700	VNXNavigationApp	Connection 0: creating secure tcp or quic connection
default	18:24:34.229950-0700	VNXNavigationApp	Connection 1: enabling TLS
default	18:24:34.229975-0700	VNXNavigationApp	Connection 1: starting, TC(0x0)
default	18:24:34.230004-0700	VNXNavigationApp	[C1 5D763644-0FDA-4F20-8B0A-C69BB47EBD23 Hostname#7d26e336:443 quic-connection, url hash: 85ed8b5c, definite, attribution: developer, context: com.apple.CFNetwork.NSURLSession.{90C700F3-046B-4A7C-9000-AB9CBCE1A0EE}{(null)}{Y}{3}{0x0} (sensitive), proc: CC0E2266-CB4A-387B-8DE2-D0EFBB673BA7] start
default	18:24:34.230056-0700	VNXNavigationApp	[C1 Hostname#7d26e336:443 initial parent-flow ((null))] event: path:start @0.000s
default	18:24:34.230546-0700	VNXNavigationApp	[C1 Hostname#7d26e336:443 waiting parent-flow (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: path:satisfied @0.000s, uuid: 6D6E9A78-7D12-43B1-AF92-97305CF58508
default	18:24:34.230707-0700	VNXNavigationApp	[C1 Hostname#7d26e336:443 in_progress parent-flow (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:start_connect @0.000s
default	18:24:34.230729-0700	VNXNavigationApp	nw_connection_report_state_with_handler_on_nw_queue [C1] reporting state preparing
default	18:24:34.230798-0700	VNXNavigationApp	[C1 Hostname#7d26e336:443 in_progress parent-flow (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: flow:start_child @0.000s
default	18:24:34.230879-0700	VNXNavigationApp	[C1.1 Hostname#7d26e336:443 initial path ((null))] event: path:start @0.000s
default	18:24:34.231116-0700	VNXNavigationApp	[C1.1 Hostname#7d26e336:443 waiting path (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: path:satisfied @0.001s, uuid: 6D6E9A78-7D12-43B1-AF92-97305CF58508
default	18:24:34.231262-0700	VNXNavigationApp	[C1.1 Hostname#7d26e336:443 in_progress transform (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: transform:start @0.001s
default	18:24:34.231390-0700	VNXNavigationApp	[C1.1.1 Hostname#7d26e336:443 initial path ((null))] event: path:start @0.001s
default	18:24:34.231590-0700	VNXNavigationApp	[C1.1.1 Hostname#7d26e336:443 waiting path (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: path:satisfied @0.001s, uuid: 580FB786-C9AF-4544-AB36-A75F8813991F
default	18:24:34.231688-0700	VNXNavigationApp	[C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] event: resolver:start_dns @0.001s
default	18:24:34.231746-0700	VNXNavigationApp	[0x109344c00] activating connection: mach=true listener=false peer=false name=com.apple.dnssd.service
default	18:24:34.231770-0700	VNXNavigationApp	Task <B6A58D3B-3BF9-435C-BDAE-1830A37FB4D7>.<1> setting up Connection 1
default	18:24:34.255913-0700	symptomsd	Data Usage for com.valuenex.VNXNavigationApp (delegation: mDNSResponder) on flow 1281271 - WiFi in/out: 895001/553502, WiFi delta_in/delta_out: 0/36, Cell in/out: 21333/14037, Cell delta_in/delta_out: 0/0, RNF: 0, subscriber tag: 1, total duration: 0.001
default	18:24:34.257181-0700	symptomsd	Data Usage for com.valuenex.VNXNavigationApp (delegation: mDNSResponder) on flow 1281275 - WiFi in/out: 895001/553538, WiFi delta_in/delta_out: 0/36, Cell in/out: 21333/14037, Cell delta_in/delta_out: 0/0, RNF: 0, subscriber tag: 1, total duration: 0.022
default	18:24:34.262732-0700	symptomsd	Data Usage for com.valuenex.VNXNavigationApp (delegation: mDNSResponder) on flow 1281271 - WiFi in/out: 895142/553538, WiFi delta_in/delta_out: 141/0, Cell in/out: 21333/14037, Cell delta_in/delta_out: 0/0, RNF: 0, subscriber tag: 1, total duration: 0.026
default	18:24:34.265772-0700	symptomsd	Data Usage for com.valuenex.VNXNavigationApp (delegation: mDNSResponder) on flow 1281273 - WiFi in/out: 895338/553622, WiFi delta_in/delta_out: 196/84, Cell in/out: 21333/14037, Cell delta_in/delta_out: 0/0, RNF: 0, subscriber tag: 1, total duration: 0.027
default	18:24:34.268950-0700	symptomsd	Data Usage for com.valuenex.VNXNavigationApp (delegation: mDNSResponder) on flow 1281275 - WiFi in/out: 895598/553622, WiFi delta_in/delta_out: 260/0, Cell in/out: 21333/14037, Cell delta_in/delta_out: 0/0, RNF: 0, subscriber tag: 1, total duration: 0.027
default	18:24:34.272692-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv6#77ef6005.443
default	18:24:34.272722-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv6#64dcf5f2.443
default	18:24:34.272752-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#4cb25d3a:443
default	18:24:34.272795-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv6#73bedbfb.443
default	18:24:34.272842-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv6#ed87f676.443
default	18:24:34.272874-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#909ea497:443
default	18:24:34.272903-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#a25bf01a:443
default	18:24:34.272933-0700	VNXNavigationApp	nw_endpoint_resolver_update [C1.1.1 Hostname#7d26e336:443 in_progress resolver (satisfied (Path is satisfied), interface: en0[802.11], ipv4, ipv6, dns, uses wifi)] Adding endpoint handler for IPv4#7b852762:443
